Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Matches,-9999
1,Sargis Adamyan,am ARM,FWMF,Köln,29-170,1993,3.3,61,80,76.3,1002,256,33,38,86.8,22,29,75.9,5,6,83.3,0,0.4,0.5,-0.4,5,2,6,2,9,Matches,22919e97
2,Karim Adeyemi,de GER,FWMF,Dortmund,20-295,2002,5.2,125,173,72.3,1619,476,81,95,85.3,34,44,77.3,4,12,33.3,0,1.4,1.0,-1.4,8,7,9,0,11,Matches,501055d8
3,Amine Adli,fr FRA,FW,Leverkusen,22-183,2000,2.9,76,90,84.4,966,216,48,56,85.7,20,20,100.0,2,4,50.0,1,0.6,0.4,+0.4,4,7,2,0,6,Matches,dcfb17f4
4,Felix Agu,de GER,DFFW,Werder Bremen,23-043,1999,0.5,16,25,64.0,299,144,4,5,80.0,9,10,90.0,2,6,33.3,0,0.1,0.1,-0.1,1,1,1,0,2,Matches,cb6d81b3
5,Naouirou Ahamada,fr FRA,MF,Stuttgart,20-225,2002,12.7,342,410,83.4,5185,1150,175,192,91.1,142,155,91.6,13,29,44.8,0,0.6,0.7,-0.6,11,27,7,2,26,Matches,a6c58494
6,Kevin Akpoguma,ng NGA,DF,Hoffenheim,27-204,1995,7.8,281,359,78.3,5421,2111,88,106,83.0,159,177,89.8,31,62,50.0,0,0.2,0.2,-0.2,1,28,3,1,29,Matches,6ec6fde0
7,Lucas Alario,ar ARG,FW,Eint Frankfurt,30-032,1992,2.6,37,51,72.5,525,103,20,27,74.1,11,15,73.3,4,4,100.0,0,0.0,0.2,0.0,1,2,0,0,3,Matches,834d0be5
8,Faride Alidou,de GER,DFMF,Eint Frankfurt,21-114,2001,1.4,43,56,76.8,664,267,22,22,100.0,18,26,69.2,2,5,40.0,0,0.3,0.1,-0.3,1,5,5,1,10,Matches,00f518d8
9,Nadiem Amiri,de GER,MFFW,Leverkusen,26-013,1996,3.4,139,168,82.7,2186,414,75,82,91.5,50,55,90.9,11,18,61.1,1,0.4,0.7,+0.6,4,12,3,0,9,Matches,555d5edd
10,Robert Andrich,de GER,MF,Leverkusen,28-048,1994,9.9,477,563,84.7,7739,1969,238,266,89.5,182,208,87.5,37,53,69.8,2,0.6,0.4,+1.4,8,37,6,1,40,Matches,e0b113a7
11,Angeliño,es ESP,DF,Hoffenheim,25-309,1997,11.0,369,557,66.2,6806,2697,160,190,84.2,155,220,70.5,49,112,43.8,2,2.2,2.4,-0.2,22,29,21,14,37,Matches,30941e96
12,Waldemar Anton,de GER,DF,Stuttgart,26-112,1996,13.9,691,854,80.9,14031,5674,207,239,86.6,405,451,89.8,77,142,54.2,0,0.6,0.7,-0.6,5,40,8,3,42,Matches,5e66fa06
13,Christopher Antwi-Adjei,gh GHA,FWMF,Bochum,28-275,1994,4.2,69,119,58.0,1230,409,34,43,79.1,22,41,53.7,10,22,45.5,2,0.7,0.5,+1.3,7,3,10,3,10,Matches,0a3f6cde
14,Charles Aránguiz,cl CHI,MF,Leverkusen,33-206,1989,5.5,248,311,79.7,3706,1211,136,154,88.3,84,96,87.5,15,39,38.5,0,0.2,0.2,-0.2,3,21,3,0,24,Matches,56413b1f
15,Maximilian Arnold,de GER,MF,Wolfsburg,28-166,1994,13.5,505,681,74.2,11859,3883,132,153,86.3,249,293,85.0,116,214,54.2,2,2.6,2.6,-0.6,22,47,9,1,45,Matches,86e119e0
16,Takuma Asano,jp JPN,MFFW,Bochum,27-364,1994,4.4,67,92,72.8,901,277,43,55,78.2,19,24,79.2,2,5,40.0,0,0.5,0.6,-0.5,7,7,4,2,7,Matches,13ddc856
17,Fisnik Asllani,xk KVX,MF,Hoffenheim,20-093,2002,0.1,3,6,50.0,28,0,3,4,75.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,35f67a30
18,Mehmet-Can Aydin,de GER,DF,Schalke 04,20-273,2002,2.1,56,84,66.7,1062,295,23,29,79.3,25,36,69.4,7,10,70.0,0,0.6,0.0,-0.6,1,4,0,0,3,Matches,fe46e261
19,Sardar Azmoun,ir IRN,MFFW,Leverkusen,27-312,1995,3.1,44,74,59.5,637,253,24,36,66.7,12,20,60.0,3,7,42.9,0,1.1,0.5,-1.1,6,8,1,0,10,Matches,10549b49
20,Sanoussy Ba,de GER,DF,RB Leipzig,18-308,2004,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,f582d5c1
21,Mitchel Bakker,nl NED,DFMF,Leverkusen,22-142,2000,6.5,300,379,79.2,4732,1376,166,189,87.8,117,142,82.4,14,32,43.8,1,0.8,0.2,+0.2,5,11,5,1,18,Matches,a8567629
22,Ridle Baku,de GER,DF,Wolfsburg,24-215,1998,13.2,588,741,79.4,11018,3627,219,247,88.7,292,349,83.7,67,116,57.8,1,1.3,2.8,-0.3,14,58,12,5,61,Matches,442b56fa
23,Aymen Barkok,ma MAR,MF,Mainz 05,24-172,1998,0.7,23,33,69.7,305,92,13,17,76.5,7,9,77.8,1,1,100.0,0,0.0,0.1,0.0,1,0,1,0,3,Matches,a2a85828
24,Leandro Barreiro Martins,lu LUX,MF,Mainz 05,22-310,2000,6.2,92,137,67.2,1203,351,63,81,77.8,20,29,69.0,3,10,30.0,0,0.3,0.3,-0.3,4,11,1,1,4,Matches,00242b75
25,Maximilian Bauer,de GER,DF,Augsburg,22-273,2000,11.0,276,380,72.6,5826,2489,91,109,83.5,143,166,86.1,40,98,40.8,0,0.3,0.1,-0.3,2,22,1,0,20,Matches,44a20f0c
