
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Matches,-9999
1,Brenden Aaronson,us USA,MF,Leeds United,22-016,2000,12.2,301,408,73.8,3959,1164,165,203,81.3,81,105,77.1,15,39,38.5,1,2.5,1.4,-1.5,25,23,7,2,27,Matches,5bc43860
2,Che Adams,sct SCO,FW,Southampton,26-117,1996,10.8,156,232,67.2,2382,418,92,124,74.2,36,55,65.5,18,20,90.0,1,1.5,1.0,-0.5,15,8,5,2,9,Matches,f2bf1b0f
3,Tyler Adams,us USA,MF,Leeds United,23-266,1999,12.0,558,683,81.7,8563,2680,297,339,87.6,211,251,84.1,28,52,53.8,0,0.9,0.7,-0.9,15,52,7,0,53,Matches,2b09d998
4,Tosin Adarabioyo,eng ENG,DF,Fulham,25-044,1997,10.0,389,488,79.7,7888,2907,100,115,87.0,253,287,88.2,32,73,43.8,0,0.0,0.1,0.0,1,22,2,0,28,Matches,c81d773d
5,Rayan Aït Nouri,fr FRA,DF,Wolves,21-154,2001,7.4,303,367,82.6,4848,1729,168,188,89.4,112,132,84.8,18,23,78.3,0,0.8,0.7,-0.8,6,21,12,5,25,Matches,9b398aea
6,Kristoffer Ajer,no NOR,DF,Brentford,24-204,1998,5.6,185,245,75.5,3201,1388,95,112,84.8,75,92,81.5,14,30,46.7,0,0.0,0.1,0.0,0,15,0,0,13,Matches,a8c0acb7
7,Manuel Akanji,ch SUI,DF,Manchester City,27-111,1995,6.8,514,542,94.8,8604,2559,244,250,97.6,237,246,96.3,27,36,75.0,0,0.0,0.1,0.0,0,36,0,0,23,Matches,89ac64a6
8,Nathan Aké,nl NED,DF,Manchester City,27-262,1995,6.3,574,617,93.0,9708,3852,250,265,94.3,291,304,95.7,26,35,74.3,0,0.1,0.3,-0.1,2,44,0,0,23,Matches,eaeca114
9,Marc Albrighton,eng ENG,MF,Leicester City,32-354,1989,0.3,13,20,65.0,150,40,10,15,66.7,3,3,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,1,Matches,b827d5b3
10,Thiago Alcántara,es ESP,MF,Liverpool,31-210,1991,6.2,395,463,85.3,6916,2161,190,210,90.5,134,150,89.3,54,69,78.3,0,0.6,0.6,-0.6,9,51,6,0,40,Matches,77e84962
